RIN,Primary Key,Date  Occurred,Time  Occurred,Location,Area  Command,Nature of Contact,Reason Desc,R2R Level,Master Subject ID,Subject  Sex,Subject  Race,Subject  Ethnicity,Subject Conduct Desc,Subject Resistance,Weapon Used 1,Weapon Used 2,Weapon Used 3,Weapon Used 4,Weapon Used 5,Number  Shots,Effect on Officer,Officer  Organization Desc,Officer  Commission Date,Officer Yrs of Service,X-Coordinate,Y-Coordinate,Council District,CENSUS_TRACT,ZIP,COUNTY,county description
214359,20183651779,12/31/2018 0:00,2150,6600 E BEN WHITE BLVD SVRD WB,HE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459754176: 20183651779,M,W,H,EDP/MENTALLY UNSTABLE,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,HENRY 600 REGION III PATROL,12/22/2017 0:00,1,3125575,10051237,3,-,78741,1,TRAVIS COUNTY
215000,20183651779,12/31/2018 0:00,2150,6600 E BEN WHITE BLVD SVRD WB,HE,4-DISPATCHED CALL [non MV Stop],TO RESTRAIN FOR SUBJECTS SAFETY,4,459754176: 20183651779,M,W,H,EDP/MENTALLY UNSTABLE,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,HENRY 600 REGION III PATROL,12/22/2017 0:00,1,3125575,10051237,3,-,78741,1,TRAVIS COUNTY
215662,20183651123,12/31/2018 0:00,1717,COLONY LOOP DR / WENTWORTH DR,CH,6-SELF-INITIATED SUBJECT STOP [non-MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,338559244: 20183651123,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,CHARLIE 500 REG III PATROL,6/23/2017 0:00,2,3150322,10081740,1,-,78724,1,TRAVIS COUNTY
214300,20183650037,12/31/2018 0:00,144,6808 S IH 35 SVRD SB,FR,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,459743208: 20183650037,M,W,H,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,FRANK 800 REG IV PATROL,10/28/2016 0:00,2,3105466,10041402,2,24.22,78745,1,TRAVIS COUNTY
214580,20183651138,12/31/2018 0:00,1735,1157 SALINA ST,CH,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459699351: 20183651138,M,B,N,NO CONTRIBUTING CHARACTERISTICS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,CHARLIE 600 REG III EVENING SHIFT,12/22/2017 0:00,1,3121574,10071826,1,8.04,78702,1,TRAVIS COUNTY
214403,20183651541,12/31/2018 0:00,2110,2504 HUNTWICK DR,HE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,255094406: 20183651541,F,W,H,EDP/MENTALLY UNSTABLE,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,HENRY 600 REGION III PATROL,11/13/2015 0:00,3,3119484,10055306,3,23.13,78741,1,TRAVIS COUNTY
214779,20183651541,12/31/2018 0:00,2110,2504 HUNTWICK DR,HE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,255094406: 20183651541,F,W,H,EDP/MENTALLY UNSTABLE,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,HENRY 300 REG III PATROL,6/23/2017 0:00,2,3119484,10055306,3,23.13,78741,1,TRAVIS COUNTY
214408,20183651467,12/31/2018 0:00,2053,7200 N IH 35 SVRD SB,ID,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,162464792: 20183651467,F,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,IDA 300 REG I PATROL,12/22/2017 0:00,1,3125789,10094778,4,-,78752,1,TRAVIS COUNTY
214240,20183650037,12/31/2018 0:00,35,6808 S IH 35 SVRD SB,FR,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,459743208: 20183650037,M,W,H,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,FRANK 600 EVENINGS REG IV PATROL,12/22/2017 0:00,1,3105466,10041402,2,24.22,78745,1,TRAVIS COUNTY
214299,20183650037,12/31/2018 0:00,35,6808 S IH 35 SVRD SB,FR,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459743208: 20183650037,M,W,H,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,MINOR INJURY,FRANK 800 REG IV PATROL,10/28/2016 0:00,2,3105466,10041402,2,24.22,78745,1,TRAVIS COUNTY
214302,20183650523,12/31/2018 0:00,1036,400 E 6TH ST,GE,6-SELF-INITIATED SUBJECT STOP [non-MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,72090084: 20183650523,M,B,N,EDP/MENTALLY UNSTABLE,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,MINOR INJURY,GEORGE 100 REG I DAYS,10/7/2011 0:00,7,3115491,10070521,9,-,78701,1,TRAVIS COUNTY
214502,20183651534,12/31/2018 0:00,2026,8506 SHENANDOAH DR,ED,4-DISPATCHED CALL [non MV Stop],TO RESTRAIN FOR SUBJECTS SAFETY,3,458877857: 20183651534,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,EDWARD 500 REG II PATROL,12/22/2017 0:00,1,3130000,10100120,4,18.13,78753,1,TRAVIS COUNTY
214344,20183651023,12/31/2018 0:00,1633,8100 S 1ST ST,FR,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,13828766: 20183651023,M,W,H,EDP/MENTALLY UNSTABLE,DEFENSIVE RESISTANCE,CED - PRONGS MISSED-ENTER # CYCLES (use #shots field),,,,,1,NO COMPLAINT OF INJURY/PAIN,DAVID 500 REG IV PATROL,6/23/2017 0:00,2,3098724,10039131,2,-,78748,1,TRAVIS COUNTY
214291,20183640046,12/30/2018 0:00,,W 9TH ST / LAVACA ST,GE,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",3,309728380: 20183640046,M,B,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE; DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,DAVID 700 REG IV PATROL,12/22/2017 0:00,1,3113859,10072007,9,-,78701,1,TRAVIS COUNTY
214325,20183640861,12/30/2018 0:00,,4400 MERLE DR,DA,1-TRAFFIC STOP [Motor Vehicle Stop],"IN CUSTODY, MAINTAINING CONTROL",3,170205959: 20183640861,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE; AGGRESSIVE RESISTANCE,CED - PRONGS MISSED-ENTER # CYCLES (use #shots field),WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,1,MINOR INJURY,DAVID 300 REG IV PATROL,6/20/2008 0:00,11,3100518,10056221,5,-,78745,1,TRAVIS COUNTY
214220,20183640197,12/30/2018 0:00,,E 6TH ST / TRINITY ST,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,458956136: 20183640197,F,B,N,NO CONTRIBUTING CHARACTERISTICS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 800 REG 1 NIGHTS,3/27/1998 0:00,21,3115415,10070416,9,-,78701,1,TRAVIS COUNTY
214275,20183640197,12/30/2018 0:00,,E 6TH ST / TRINITY ST,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,458956136: 20183640197,F,B,N,NO CONTRIBUTING CHARACTERISTICS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 800 REG 1 NIGHTS,3/20/2015 0:00,4,3115415,10070416,9,-,78701,1,TRAVIS COUNTY
215239,20183640197,12/30/2018 0:00,,E 6TH ST / TRINITY ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459449373: 20183640197,F,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 400 REG I EVENING,12/12/2014 0:00,4,3115415,10070416,9,-,78701,1,TRAVIS COUNTY
214264,20183641120,12/30/2018 0:00,,2103 E 12TH ST,CH,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,24,28901705: 20183641120,M,B,N,NO CONTRIBUTING CHARACTERISTICS,DEFENSIVE RESISTANCE; PREPARATORY RESISTANCE,CED - PRONGS-ENTER # CYCLES (use #shots field),WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,1,NO COMPLAINT OF INJURY/PAIN,CHARLIE 400 REG III PATROL,10/28/2016 0:00,2,3122231,10073066,1,-,78702,1,TRAVIS COUNTY
214259,20183640152,12/30/2018 0:00,155,500 BLOCK TRINITY ST,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459363009: 20183640152,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,AGGRESSIVE RESISTANCE,CHEMICAL AGENT - O C SPRAY,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,COMPLAINT OF INJURY/PAIN,GEORGE 800 REG 1 NIGHTS,7/8/2005 0:00,13,3115341,10070251,9,-,78701,1,TRAVIS COUNTY
214260,20183640152,12/30/2018 0:00,155,500 BLOCK TRINITY ST,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,1192692: 20183640152,,,,NO CONTRIBUTING CHARACTERISTICS,AGGRESSIVE RESISTANCE,CHEMICAL AGENT - O C SPRAY,,,,,,,GEORGE 800 REG 1 NIGHTS,7/8/2005 0:00,13,3115341,10070251,9,-,78701,1,TRAVIS COUNTY
214261,20183640152,12/30/2018 0:00,155,500 BLOCK TRINITY ST,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,1192693: 20183640152,,,,NO CONTRIBUTING CHARACTERISTICS,AGGRESSIVE RESISTANCE,CHEMICAL AGENT - O C SPRAY,,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 800 REG 1 NIGHTS,7/8/2005 0:00,13,3115341,10070251,9,-,78701,1,TRAVIS COUNTY
214262,20183640152,12/30/2018 0:00,155,500 BLOCK TRINITY ST,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,1192694: 20183640152,,,,NO CONTRIBUTING CHARACTERISTICS,AGGRESSIVE RESISTANCE,CHEMICAL AGENT - O C SPRAY,,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 800 REG 1 NIGHTS,7/8/2005 0:00,13,3115341,10070251,9,-,78701,1,TRAVIS COUNTY
215319,20183640152,12/30/2018 0:00,155,500 BLOCK TRINITY ST,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459215254: 20183640152,M,W,H,NO CONTRIBUTING CHARACTERISTICS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 800 REG 1 NIGHTS,10/28/2016 0:00,2,3115341,10070251,9,-,78701,1,TRAVIS COUNTY
214740,20183641246,12/30/2018 0:00,2145,604 BRAZOS ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459756004: 20183641246,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 400 REG I EVENING,12/12/2014 0:00,4,3114657,10070787,9,-,78701,1,TRAVIS COUNTY
214274,20183641246,12/30/2018 0:00,2141,604 BRAZOS ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459756004: 20183641246,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 400 REG I EVENING,12/12/2014 0:00,4,3114657,10070787,9,-,78701,1,TRAVIS COUNTY
214267,20183640010,12/30/2018 0:00,30,5904 HAROLD CT,CH,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,288753436: 20183640010,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE; AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,CHARLIE 800 REG III PATROL,10/28/2016 0:00,2,3135635,10071746,1,-,78721,1,TRAVIS COUNTY
214269,20183641304,12/30/2018 0:00,2332,919 E 32ND ST,BA,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,254873119: 20183641304,F,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE; DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,0,NO COMPLAINT OF INJURY/PAIN,GEORGE 900 REG I NIGHTS,5/29/2015 0:00,4,3119190,10079092,9,-,78705,1,TRAVIS COUNTY
214739,20183641304,12/30/2018 0:00,2332,919 E 32ND ST,BA,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,254873119: 20183641304,F,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE; DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,BAKER 600 EVE REG I PATROL,12/22/2017 0:00,1,3119190,10079092,9,-,78705,1,TRAVIS COUNTY
214294,20183640046,12/30/2018 0:00,140,W 9TH ST / LAVACA ST,GE,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",3,309728380: 20183640046,M,B,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE; DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,HENRY 700 REG III PATROL,3/20/2015 0:00,4,3113859,10072007,9,-,78701,1,TRAVIS COUNTY
214266,20183640010,12/30/2018 0:00,231,5904 HAROLD CT,CH,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,288753436: 20183640010,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,CHARLIE 600 REG III EVENING SHIFT,10/28/2016 0:00,2,3135635,10071746,1,-,78721,1,TRAVIS COUNTY
214277,20183640197,12/30/2018 0:00,2340,E 6TH ST / TRINITY ST,GE,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,459449373: 20183640197,F,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 400 REG I EVENING,12/12/2014 0:00,4,3115415,10070416,9,-,78701,1,TRAVIS COUNTY
214292,20183640046,12/30/2018 0:00,138,W 9TH ST / LAVACA ST,GE,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",3,309728380: 20183640046,M,B,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE; DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,HENRY 400 REG III PATROL,6/23/2017 0:00,2,3113859,10072007,9,-,78701,1,TRAVIS COUNTY
214276,20183640197,12/30/2018 0:00,236,E 6TH ST / TRINITY ST,GE,5-VIEWED OFFENSE [non MV-Stop],"IN CUSTODY, MAINTAINING CONTROL",4,458960885: 20183640197,F,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE; DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 500 REG I EVENING,11/30/2012 0:00,6,3115415,10070416,9,-,78701,1,TRAVIS COUNTY
214265,20183641120,12/30/2018 0:00,1959,2103 E 12TH ST,CH,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,28901705: 20183641120,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,CHARLIE 400 REG III PATROL,10/28/2016 0:00,2,3122231,10073066,1,-,78702,1,TRAVIS COUNTY
214295,20183640861,12/30/2018 0:00,1611,4400 MERLE DR,DA,1-TRAFFIC STOP [Motor Vehicle Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,170205959: 20183640861,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,DAVID 300 REG IV PATROL,12/22/2017 0:00,1,3100518,10056221,5,-,78745,1,TRAVIS COUNTY
214296,20183640861,12/30/2018 0:00,1630,4400 MERLE DR,DA,1-TRAFFIC STOP [Motor Vehicle Stop],"IN CUSTODY, MAINTAINING CONTROL",3,170205959: 20183640861,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,DAVID 300 REG IV PATROL,7/8/2016 0:00,2,3100518,10056221,5,-,78745,1,TRAVIS COUNTY
214279,20183640197,12/30/2018 0:00,234,E 6TH ST / TRINITY ST,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,458956136: 20183640197,F,B,N,NO CONTRIBUTING CHARACTERISTICS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 800 REG 1 NIGHTS,10/28/2016 0:00,2,3115415,10070416,9,-,78701,1,TRAVIS COUNTY
214581,20183640096,12/30/2018 0:00,109,403 E 6TH ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO DEFEND REPORTING OFFICER,4,459757116: 20183640096,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PREPARATORY RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 500 REG I EVENING,12/12/2014 0:00,4,3115468,10070315,9,-,78701,1,TRAVIS COUNTY
214270,20183641023,12/30/2018 0:00,1904,8128 N IH 35 SVRD SB,ED,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",3,204157975: 20183641023,F,W,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,EDWARD 300 REG II PATROL,3/20/2015 0:00,4,3127901,10098807,4,-,78753,1,TRAVIS COUNTY
